id,name,artists,href,z,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,centroid,mean,var,skewness,kurtosis,RMS,max_amplitude,zcr,spectral_centroid,spectral_slope,spectral_flatness
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,24,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,182276.9140643308,0.7324037367144844,5262.799971546086,-4.372489907268522e-07,-2.999999863620633,72.54885517208139,128.0,0.4709505638611983,10886.169291669145,-0.04404152361064612,0.8426007961421059
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,17,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4,182117.38875493425,0.5208440697677623,5274.9805782265885,-3.408243062662799e-07,-2.999999864808681,72.6309290644943,128.0,0.4695765045017238,10868.842590831742,-0.040625251898359235,0.843260988928126
466cKvZn1j45IpxDdYZqdA,Toosie Slide,Drake,https://api.spotify.com/v1/tracks/466cKvZn1j45IpxDdYZqdA,15,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,4,181689.3900512363,0.6456604595148004,5253.342735756233,-4.234322424847867e-07,-2.999999863001996,72.48282288366819,128.0,0.4690749350302182,10855.44278234446,-0.04667170952233118,0.8418300172395107
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS & Travis Scott & Kid Cudi,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,42,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4,181684.32952649673,0.5231920763047007,5255.42349846658,-3.781395855309297e-07,-2.9999998639008862,72.49618768194152,128.0,0.47122451847952795,10836.089989135497,-0.04756506022473074,0.8433301303502212
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,2,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,182820.47906196114,0.6866180249254572,5212.337184787701,-4.42950783336152e-07,-2.9999998597915227,72.19978274967212,128.0,0.46406969234785717,10820.112888749085,-0.060942440221601654,0.8421387366752363
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem & Juice WRLD,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,29,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4,181927.99329497965,0.8763383223879117,5236.5321626000095,-4.254539398705951e-07,-2.999999862214406,72.3691932486144,128.0,0.4679588051623073,10853.334378343561,-0.04047926816040624,0.841154948937346
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu & beabadoobee,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,7,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4,182183.67315110803,0.9525052292751219,5209.00460913441,-3.9247129827047426e-07,-2.99999985984425,72.17971928004575,128.0,0.4689798573007295,10860.601315520551,-0.044876816063225106,0.8423244484381066
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,36,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,181683.95428375178,0.7300288540239926,5253.900670192161,-3.838969739265849e-07,-2.999999863085168,72.487472106012,128.0,0.46628461036044105,10812.508560434242,-0.05994344756254447,0.8430817159028094
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),Future & Drake,https://api.spotify.com/v1/tracks/1K5KBOgreBi5fkEHvg5ap3,19,0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,237918,4,181919.8208935491,1.0184864176640642,5314.689299740423,-4.792252400404218e-07,-2.999999868031943,72.90902971733605,128.0,0.4757896274330942,10860.480999499736,-0.04297301115497192,0.842038564922151
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,9,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4,182162.32077625237,0.8244451732205996,5255.199276875786,-4.3857387993526147e-07,-2.9999998633922718,72.49744124256685,128.0,0.4710357409586591,10885.698012086526,-0.02872366839116619,0.8420385765512562
