id,name,artists,href,z,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,centroid,mean,var,skewness,kurtosis,RMS,max_amplitude,zcr,spectral_centroid,spectral_slope,spectral_flatness
4fbaKWFRghusXd4bSBvvfN,Toxic,Britney Spears,https://api.spotify.com/v1/tracks/4fbaKWFRghusXd4bSBvvfN,46,0.774,0.838,5,-3.914,0,0.114,0.0249,0.0244,0.242,0.924,143.04,198800,4,182703.8702797178,0.7460757282833165,5263.810008931126,-4.294702944414928e-07,-2.999999864056587,72.5559552202537,128.0,0.47306560042181117,10908.008125643568,-0.035105885668852595,0.8427130114428011
33yAEqzKXexYM3WlOYtTfQ,D.A.N.C.E,Justice,https://api.spotify.com/v1/tracks/33yAEqzKXexYM3WlOYtTfQ,43,0.613,0.962,6,-5.07,0,0.278,0.034,0,0.824,0.496,113.015,242267,4,182035.1497201699,0.7013897883762653,5330.344237570667,-3.8639840859883966e-07,-2.999999868972318,73.01257552782195,128.0,0.47857306241232866,10923.030281326297,-0.02730521812630002,0.8427389525298394
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,34,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,182803.94628858892,0.8174450719320665,5270.009354765059,-3.530814717042718e-07,-2.999999865358407,72.599432306394,128.0,0.47556370831444,10897.259165101741,-0.03108897494461489,0.8418966374040032
6IIjmqaDdO6vdEBasXsCve,Sweet Disposition,The Temper Trap,https://api.spotify.com/v1/tracks/6IIjmqaDdO6vdEBasXsCve,85,0.531,0.805,2,-7.127,1,0.0433,0.0783,0.0926,0.116,0.349,129.107,234680,4,182085.17608161728,0.3396755231342029,5273.034110288501,-4.2434856277157945e-07,-2.999999865353316,72.61645467626134,128.0,0.4749297940533703,10909.04304091051,-0.018946680042985723,0.8426052460941159
3N4DI1vuTSX1tz7fa2NQZw,Rehab,Amy Winehouse,https://api.spotify.com/v1/tracks/3N4DI1vuTSX1tz7fa2NQZw,10,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,214947,4,181157.00458149283,0.9107123664433489,5336.651015595393,-4.252019691227877e-07,-2.999999869472929,73.05806192755038,128.0,0.4763449364908326,10871.326920279722,-0.047222262053635757,0.8407665788278387
2wLMMcXV6sRtLijfLZP9oR,Sweet Dreams,Beyoncé,https://api.spotify.com/v1/tracks/2wLMMcXV6sRtLijfLZP9oR,68,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,208067,4,182103.11563749978,0.5214586301641675,5288.742846881798,-4.013629280728781e-07,-2.9999998661091114,72.72561286083996,128.0,0.47319634791283716,10882.987585834762,-0.045436475333515,0.8424655281368868
7uYl7xgDeAOHP98obvrJvB,Who Knew,P!nk,https://api.spotify.com/v1/tracks/7uYl7xgDeAOHP98obvrJvB,82,0.688,0.734,9,-4.569,1,0.0274,0.00462,0,0.0756,0.46,140.004,208493,4,182146.2998976704,1.1524716075852737,5275.26680562485,-4.705818797004983e-07,-2.999999865514081,72.64017481002602,128.0,0.47402586665417334,10863.025740017425,-0.04482464103103425,0.8421268851420556
0mqTcM8kuu2IYPotMt7AzS,Make You Feel My Love,Adele,https://api.spotify.com/v1/tracks/0mqTcM8kuu2IYPotMt7AzS,72,0.559,0.172,10,-10.636,1,0.0291,0.907,0.000383,0.105,0.0955,77.025,212040,4,181489.77686241618,1.0013669146036637,5289.502292398497,-5.13772764511042e-07,-2.999999866055819,72.7358579250713,128.0,0.4723654512333924,10871.113855332447,-0.051487499559148074,0.8428157168684844
6ajyEEzWZbw8ycDcJAN099,Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,https://api.spotify.com/v1/tracks/6ajyEEzWZbw8ycDcJAN099,20,0.584,0.681,1,-5.084,0,0.0781,0.495,0,0.289,0.821,79.702,237173,4,181769.07082005317,0.8632148398422537,5329.661409755697,-4.762842313892437e-07,-2.9999998692544128,73.00963326586032,128.0,0.4766742636987717,10917.325873841892,-0.03408895650724499,0.8425327157031727
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,https://api.spotify.com/v1/tracks/4EWCNWgDS8707fNSZ1oaA5,84,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,211000,4,181791.7782755946,0.8042197976635681,5346.580741878145,-4.5104799375916506e-07,-2.999999870339576,73.12473939345766,128.0,0.4779461005729467,10910.925565805395,-0.030088987663212396,0.8422236393529297
