id,name,artists,href,z,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,centroid,mean,var,skewness,kurtosis,RMS,max_amplitude,zcr,spectral_centroid,spectral_slope,spectral_flatness
07K4GcCDSTiXUF5ssyTRUM,The Sweet Escape,Gwen Stefani & Akon,https://api.spotify.com/v1/tracks/07K4GcCDSTiXUF5ssyTRUM,40,0.756,0.77,1,-3.502,1,0.0343,0.191,0,0.178,0.73,119.961,246467,4,181579.6307840001,0.5982483650764342,5267.6329080465,-3.498458343226395e-07,-2.999999864440801,72.58092593204371,128.0,0.4748608971479437,10899.08943291562,-0.034109459571205605,0.8429988238881574
4wCD0qOFNRu1Q6O3N6ycm4,Crush,David Archuleta,https://api.spotify.com/v1/tracks/4wCD0qOFNRu1Q6O3N6ycm4,74,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,213520,4,182942.24900633158,0.7933138216744301,5289.300062196927,-4.1369860565821197e-07,-2.9999998662164953,72.73190090336279,128.0,0.47360429806120063,10879.121099493454,-0.04333404562375651,0.84152365121745
2SDx0PooHZI1SQKR0y44bs,Grace Kelly,MIKA,https://api.spotify.com/v1/tracks/2SDx0PooHZI1SQKR0y44bs,76,0.675,0.828,0,-5.799,1,0.0454,0.0242,0.0102,0.364,0.669,122.229,187733,4,182011.44706452455,0.6565875087154586,5312.124686935351,-4.6856815320140097e-07,-2.999999868056368,72.88728142887449,128.0,0.47521640517994496,10894.482827471516,-0.04167424530946979,0.8416551733562891
1u0l8zWpQeMYStFkc2mLD7,Everywhere,Michelle Branch,https://api.spotify.com/v1/tracks/1u0l8zWpQeMYStFkc2mLD7,58,0.523,0.828,1,-4.696,1,0.0762,0.0136,0.000255,0.165,0.476,96.952,214827,4,181900.27081029827,0.41306175091839575,5308.169637002944,-3.5693174184934426e-07,-2.9999998677575634,72.8583574959868,128.0,0.47720614780866505,10945.394415510853,-0.019286966637578278,0.8421546082831234
1OutzYv6YiN93lrT3pJsWR,It's My Life,No Doubt,https://api.spotify.com/v1/tracks/1OutzYv6YiN93lrT3pJsWR,73,0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,226053,4,181511.07697443067,0.7591529538859233,5335.438146875118,-4.0808290413521297e-07,-2.999999869328699,73.04802844760775,128.0,0.47679690019043103,10928.08816276982,-0.02731645789660813,0.841749159201862
4fbaKWFRghusXd4bSBvvfN,Toxic,Britney Spears,https://api.spotify.com/v1/tracks/4fbaKWFRghusXd4bSBvvfN,46,0.774,0.838,5,-3.914,0,0.114,0.0249,0.0244,0.242,0.924,143.04,198800,4,182703.8702797178,0.7460757282833165,5263.810008931126,-4.294702944414928e-07,-2.999999864056587,72.5559552202537,128.0,0.47306560042181117,10908.008125643568,-0.035105885668852595,0.8427130114428011
1SKPmfSYaPsETbRHaiA18G,Somewhere Only We Know,Keane,https://api.spotify.com/v1/tracks/1SKPmfSYaPsETbRHaiA18G,92,0.448,0.665,9,-4.203,1,0.026,0.06,2.55e-05,0.0828,0.304,172.004,237147,4,182833.60186005328,0.3592975802794839,5293.754497592541,-3.477866991131784e-07,-2.999999866805928,72.75907910593519,128.0,0.4774901411160119,10947.131420713065,-0.019314643402736347,0.8431564113863178
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",Fall Out Boy,https://api.spotify.com/v1/tracks/0a7BloCiNzLDD9qSQHh5m7,95,0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,180267,4,181870.43543524196,0.807799680869534,5317.362608727153,-4.724056481881078e-07,-2.999999868413139,72.92472248182756,128.0,0.47900986879273333,10936.605428351524,-0.02307512636081888,0.8423246785531935
3FtYbEfBqAlGO46NUDQSAt,Electric Feel,MGMT,https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt,30,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3,182856.92163591713,0.8076858579444083,5290.095366635266,-4.709035103314351e-07,-2.999999866137083,72.73752623701463,128.0,0.4700474764885542,10875.92240262351,-0.03447687444425561,0.8423677794149097
7kcyCnpHm1BZGB9Wc7MCZH,Golden Skans,Klaxons,https://api.spotify.com/v1/tracks/7kcyCnpHm1BZGB9Wc7MCZH,78,0.463,0.836,2,-2.776,0,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,165120,4,181791.7782755946,0.8042197976635681,5346.580741878145,-4.5104799375916506e-07,-2.999999870339576,73.12473939345766,128.0,0.4779461005729467,10910.925565805395,-0.030088987663212396,0.8422236393529297
4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,67,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827,4,181538.8884552709,1.0570163230548337,5284.497902473103,-4.7065738691047773e-07,-2.999999866140194,72.70223645789933,128.0,0.475024871782859,10874.58121161068,-0.03727396568402219,0.842411908554116
7MDfN1ldfTMtuXXdVz2Pzc,Tears Dry On Their Own,Amy Winehouse,https://api.spotify.com/v1/tracks/7MDfN1ldfTMtuXXdVz2Pzc,18,0.634,0.543,1,-13.391,0,0.181,0.525,0,0.232,0.467,121.557,186440,4,181807.1068466911,0.4903034495302609,5321.8766941960885,-4.308878994112812e-07,-2.9999998683739455,72.95284155993316,128.0,0.47472448127519906,10908.45426221224,-0.03319590859776384,0.8425363062927884
1F6oGPF75u9RuHH4BGx9Bf,We Are Never Ever Getting Back Together,Taylor Swift,https://api.spotify.com/v1/tracks/1F6oGPF75u9RuHH4BGx9Bf,16,0.624,0.685,7,-5.902,1,0.12,0.0105,2.22e-05,0.126,0.781,86.059,193147,4,181014.84858209422,0.7087920718952988,5262.53556772608,-4.3179175708283537e-07,-2.9999998639106287,72.54679837130831,128.0,0.4727195813272851,10911.479503094411,-0.028220639823822415,0.8425923318894428
4Tn2llBm1g0UlWctmgPL8Z,Shut Up And Drive,Rihanna,https://api.spotify.com/v1/tracks/4Tn2llBm1g0UlWctmgPL8Z,19,0.735,0.826,1,-4.902,1,0.0349,0.00101,0.129,0.197,0.74,132.964,212280,4,181989.62287325447,0.21238435654424145,5330.700219607999,-4.1019127206001165e-07,-2.9999998692644136,73.01195331398075,128.0,0.4775203176974103,10939.445361594255,-0.02712287363677464,0.8427422772943994
3EDS89HeAhHiZKlljciK0a,Push The Button,Sugababes,https://api.spotify.com/v1/tracks/3EDS89HeAhHiZKlljciK0a,98,0.962,0.66,8,-5.096,1,0.061,0.0485,0,0.076,0.814,126.016,218093,4,182085.17608161728,0.3396755231342029,5273.034110288501,-4.2434856277157945e-07,-2.999999865353316,72.61645467626134,128.0,0.4749297940533703,10909.04304091051,-0.018946680042985723,0.8426052460941159
25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,Wheatus,https://api.spotify.com/v1/tracks/25FTMokYEbEWHEdss5JLZS,70,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,241667,4,181924.5887291754,0.5882445344084926,5264.001448532319,-3.9187399052559273e-07,-2.999999864663856,72.55582319955154,128.0,0.47637249525300324,10937.507227133772,-0.019397670516575045,0.8426427386624187
3N4DI1vuTSX1tz7fa2NQZw,Rehab,Amy Winehouse,https://api.spotify.com/v1/tracks/3N4DI1vuTSX1tz7fa2NQZw,10,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,214947,4,181683.49781516936,0.6973331385847473,5283.405798113543,-3.9027388511450114e-07,-2.9999998656658073,72.69038500117956,128.0,0.47274714008945573,10892.116369784724,-0.036525808587083555,0.8415691568181219
49CP2usyaN98EdtrOWXnal,1234,Feist,https://api.spotify.com/v1/tracks/49CP2usyaN98EdtrOWXnal,49,0.71,0.484,2,-7.415,1,0.049,0.22,3.93e-06,0.0879,0.576,109.95,183667,4,181789.87831222103,0.5953216245339125,5317.65024132654,-4.258946735063469e-07,-2.999999868160355,72.92465049051094,128.0,0.47504554085448697,10919.869134372706,-0.02823910800143992,0.8429092023291387
2nGFzvICaeEWjIrBrL2RAx,Put Your Records On,Corinne Bailey Rae,https://api.spotify.com/v1/tracks/2nGFzvICaeEWjIrBrL2RAx,41,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,215360,4,182060.90332516422,0.4682399045364478,5290.893287597124,-3.238520310763716e-07,-2.9999998662829115,72.74003393046586,128.0,0.4790525848740978,10942.870934828607,-0.018801350994915107,0.8423985570750668
2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado & Timbaland,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN,36,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293,4,181330.26258929583,0.719812820887337,5275.202285860664,-3.7253225306754324e-07,-2.9999998647705888,72.63415461308666,128.0,0.47816657067031176,10936.073170090274,-0.02545289784207277,0.8422414162199688
4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,8,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,261640,4,181831.97270725624,0.8073063790266797,5268.448644713342,-3.8690523191230666e-07,-2.9999998649171054,72.58856926750217,128.0,0.4739280330484676,10895.070216344211,-0.041397838853360305,0.8427531003528369
1ctdfJSzp6qF2iDAVdDrfl,About You Now,Sugababes,https://api.spotify.com/v1/tracks/1ctdfJSzp6qF2iDAVdDrfl,55,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,212400,4,181499.29484354443,0.5712242428919063,5279.184250980553,-3.274721197672769e-07,-2.999999865224646,72.66024049035498,128.0,0.47468727694626867,10899.266086045931,-0.031140671043528006,0.8424256893105472
456WNXWhDwYOSf5SpTuqxd,Dog Days Are Over,Florence + The Machine,https://api.spotify.com/v1/tracks/456WNXWhDwYOSf5SpTuqxd,22,0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,252819,4,181859.43755203128,0.9325251267014091,5323.193944637761,-4.279645081051542e-07,-2.999999868434119,72.96618084941605,128.0,0.4779736593351173,10924.78024930661,-0.0275722095883551,0.841647974548736
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,60,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4,182202.81238418756,0.8504771799669846,5321.862419741655,-4.341659541666955e-07,-2.9999998684131026,72.95605342379272,128.0,0.478110075207862,10923.718408579647,-0.030802551120343347,0.8418770373072426
3F9ByoUqu31xU0I3G5xfVg,Meet Me Halfway,Black Eyed Peas,https://api.spotify.com/v1/tracks/3F9ByoUqu31xU0I3G5xfVg,96,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373,4,182004.40580476564,0.6034955533937237,5318.6873555610555,-4.421327168717207e-07,-2.999999868257638,72.9318281852582,128.0,0.4780604694359548,10936.844702143424,-0.02438091899075054,0.843525787078533
0iGckQFyv6svOfAbAY9aWJ,Hot N Cold,Katy Perry,https://api.spotify.com/v1/tracks/0iGckQFyv6svOfAbAY9aWJ,75,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.861,132.032,220227,4,181549.61190605492,0.8885385864008533,5336.9009536520225,-4.326333048829508e-07,-2.999999869914197,73.05949941295484,128.0,0.4775781910979686,10900.111793596185,-0.038251744485136095,0.8419881190102783
4fixebDZAVToLbUCuEloa2,Womanizer,Britney Spears,https://api.spotify.com/v1/tracks/4fixebDZAVToLbUCuEloa2,38,0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139.0,224400,4,181904.8754607933,0.8636006625126426,5319.761625115928,-4.2104835569749467e-07,-2.999999868084235,72.94180852721037,128.0,0.47408649593094876,10906.844319860027,-0.03279662641524533,0.8420097862868757
5vQXxfGn1bjv5WESrYVVpw,Just Dance,Lady Gaga & Colby O'Donis,https://api.spotify.com/v1/tracks/5vQXxfGn1bjv5WESrYVVpw,9,0.821,0.741,1,-4.57,0,0.0313,0.0278,2.51e-05,0.19,0.741,118.984,244440,4,181308.74117330808,0.4774087047106192,5268.477466737558,-3.4369461674098494e-07,-2.9999998643836387,72.58584838526647,128.0,0.4719121095956854,10923.530380443959,-0.02512231652346833,0.8424756807566757
2OuNgtXKeCSORKqdl0MxKk,Chasing Pavements,Adele,https://api.spotify.com/v1/tracks/2OuNgtXKeCSORKqdl0MxKk,11,0.614,0.47,5,-6.09,0,0.0255,0.291,0,0.111,0.329,80.045,210507,4,181769.07082005317,0.8632148398422537,5329.661409755697,-4.762842313892437e-07,-2.9999998692544128,73.00963326586032,128.0,0.4766742636987717,10917.325873841892,-0.03408895650724499,0.8425327157031727
5s5t0OFg9lIlBFaCI14K1i,She Will Be Loved,Maroon 5,https://api.spotify.com/v1/tracks/5s5t0OFg9lIlBFaCI14K1i,1,0.524,0.711,0,-5.494,0,0.0405,0.0567,0,0.134,0.539,203.867,257133,4,182440.1589672258,0.9661591687888805,5219.380196000626,-4.112156777065449e-07,-2.9999998608663323,72.25173810739824,128.0,0.46878007997491844,10871.757812553913,-0.02938169677360736,0.8418102945193277
6Q44rxzH39y2tjic98Spo5,Fergalicious,Fergie & will.i.am,https://api.spotify.com/v1/tracks/6Q44rxzH39y2tjic98Spo5,54,0.906,0.584,8,-7.72,0,0.316,0.0576,0,0.128,0.831,129.055,292373,4,183101.82309852386,0.8894564879874475,5289.208259864635,-4.933622822396379e-07,-2.9999998659744915,72.73238200903816,128.0,0.4754679028663602,10954.484355610048,-0.0237051448502707,0.8414807312967555
3p9WUMN8SPfq3mUtUUnmE5,Hella Good,No Doubt,https://api.spotify.com/v1/tracks/3p9WUMN8SPfq3mUtUUnmE5,79,0.771,0.665,8,-3.954,1,0.035,0.0135,0.0123,0.0903,0.844,115.142,242587,4,182454.95343204864,0.7439763435585527,5315.076544865094,-4.281016902277995e-07,-2.9999998680854323,72.90836745987986,128.0,0.47636973937678617,10911.046262927892,-0.029156503308102284,0.8431794448488041
1myEOhXztRxUVfaAEQiKkU,Cosmic Love,Florence + The Machine,https://api.spotify.com/v1/tracks/1myEOhXztRxUVfaAEQiKkU,12,0.518,0.809,9,-5.451,0,0.0382,0.137,0.000239,0.119,0.0957,140.065,255907,4,181577.5261243237,0.5498028170566691,5304.275684734351,-3.8475262740659186e-07,-2.999999867576723,72.8325337186068,128.0,0.47593706681070713,10931.662946402424,-0.01904682869933826,0.8421436345239643
6tBdTwcyyGq1HU3PXgZK82,All The Things She Said,t.A.T.u.,https://api.spotify.com/v1/tracks/6tBdTwcyyGq1HU3PXgZK82,27,0.604,0.831,5,-5.72,0,0.0387,0.0359,0.00854,0.105,0.447,89.994,214440,4,181862.49447865016,0.9444580707212955,5234.57507036567,-4.268094915277268e-07,-2.9999998617322867,72.35652749692332,128.0,0.4683170690705256,10860.428190575023,-0.0443718106163405,0.8422136465416415
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira & Wyclef Jean,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,4,0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,218093,4,182090.6209025233,0.38873838742659034,5342.877832945801,-3.9270911822706e-07,-2.99999987020467,73.09602554502987,128.0,0.47669768864661677,10887.045990688443,-0.04372716549943071,0.8413019365344993
34xZFT7artr3SGqgSoR88L,Complicated,Avril Lavigne,https://api.spotify.com/v1/tracks/34xZFT7artr3SGqgSoR88L,81,0.582,0.758,5,-5.951,1,0.0464,0.0615,8.41e-06,0.309,0.413,77.982,244507,4,181915.82412607296,0.7892553898049115,5298.4905050388825,-4.724330266052282e-07,-2.99999986688527,72.79500964426902,128.0,0.47560222785033385,10918.752030403948,-0.021975638738400756,0.8425436372306435
0JiY190vktuhSGN6aqJdrt,So What,P!nk,https://api.spotify.com/v1/tracks/0JiY190vktuhSGN6aqJdrt,88,0.534,0.87,11,-3.078,0,0.0425,0.000334,0,0.241,0.462,126.019,215160,4,181904.40896720096,0.7537156101096563,5272.812557158053,-4.456537871381761e-07,-2.9999998652053397,72.6180462721146,128.0,0.4744984994253998,10901.814252279479,-0.031745818142135646,0.8427149233368977
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,https://api.spotify.com/v1/tracks/1QV6tiMFM6fSOKOGLMHYYg,80,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200,4,181771.28712816368,0.40554923235067974,5367.92248322654,-3.1829406756112625e-07,-2.999999871752291,73.26722973749179,128.0,0.4801191089701015,10932.201657993444,-0.023216594721897372,0.8422362500917265
2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,https://api.spotify.com/v1/tracks/2VOomzT6VavJOGBeySqaMc,50,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,4,181934.75918575385,0.7161585290235104,5341.5174701819615,-4.259494835604871e-07,-2.99999987003071,73.08919450384342,128.0,0.4799895827878995,10935.575742515515,-0.023080766491945598,0.8415623433988461
3jagJCUbdqhDSPuxP8cAqF,Work It,Missy Elliott,https://api.spotify.com/v1/tracks/3jagJCUbdqhDSPuxP8cAqF,93,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,263227,4,181770.08494947222,0.5692152091296667,5281.407147297217,-3.875357177633804e-07,-2.9999998652187054,72.67551962835574,128.0,0.47439928788158553,10901.281668115535,-0.03260037566174559,0.842278193151406
3kMrazSvILsgcwtidZd1Qd,Bulletproof,La Roux,https://api.spotify.com/v1/tracks/3kMrazSvILsgcwtidZd1Qd,31,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,205733,4,181863.8363254601,0.7470767043027495,5296.2710010489245,-3.768517935177842e-07,-2.99999986722673,72.7793179732473,128.0,0.4782092867516763,10929.919367021945,-0.025041947495795792,0.8420824743042836
